Platform;File;PKG;seconds
node; manzoni_i_promessi_sposi_1840; 2.56; 0.07687701
node; manzoni_i_promessi_sposi_1840; 2.07; 0.07294764
node; manzoni_i_promessi_sposi_1840; 3.91; 0.06226928
node; manzoni_i_promessi_sposi_1840; 3.48; 0.05938247
node; manzoni_i_promessi_sposi_1840; 6.83; 0.06386878
node; manzoni_i_promessi_sposi_1840; 3.39; 0.05895285
node; manzoni_i_promessi_sposi_1840; 3.30; 0.05990327
node; manzoni_i_promessi_sposi_1840; 3.34; 0.05909227
node; manzoni_i_promessi_sposi_1840; 3.61; 0.06345048
node; manzoni_i_promessi_sposi_1840; 3.50; 0.06273322
node; manzoni_i_promessi_sposi_1840; 3.51; 0.05907118
node; manzoni_i_promessi_sposi_1840; 3.26; 0.06170853
node; manzoni_i_promessi_sposi_1840; 3.32; 0.06086227
node; manzoni_i_promessi_sposi_1840; 3.40; 0.06051193
node; manzoni_i_promessi_sposi_1840; 3.58; 0.06200362
node; manzoni_i_promessi_sposi_1840; 3.72; 0.06066130
node; manzoni_i_promessi_sposi_1840; 3.15; 0.06276331
node; manzoni_i_promessi_sposi_1840; 3.29; 0.06095463
node; manzoni_i_promessi_sposi_1840; 3.18; 0.06226486
node; manzoni_i_promessi_sposi_1840; 4.08; 0.06205999
node; manzoni_i_promessi_sposi_1840; 3.80; 0.06561302
node; manzoni_i_promessi_sposi_1840; 3.24; 0.06350269
node; manzoni_i_promessi_sposi_1840; 3.20; 0.06071881
node; manzoni_i_promessi_sposi_1840; 3.61; 0.06359910
node; manzoni_i_promessi_sposi_1840; 3.46; 0.06286572
node; manzoni_i_promessi_sposi_1840; 3.11; 0.06172858
node; manzoni_i_promessi_sposi_1840; 3.38; 0.06189876
node; manzoni_i_promessi_sposi_1840; 3.33; 0.05960998
node; manzoni_i_promessi_sposi_1840; 3.76; 0.06048592
node; manzoni_i_promessi_sposi_1840; 3.15; 0.06011963
node; malavoglia; 0.91; 0.03260755
node; malavoglia; 0.72; 0.03092625
node; malavoglia; 0.71; 0.03001750
node; malavoglia; 0.82; 0.03005293
node; malavoglia; 0.91; 0.03125911
node; malavoglia; 0.88; 0.03180273
node; malavoglia; 0.86; 0.03083274
node; malavoglia; 0.76; 0.03082686
node; malavoglia; 0.88; 0.03110673
node; malavoglia; 1.16; 0.03256964
node; malavoglia; 1.57; 0.03327596
node; malavoglia; 1.21; 0.03218280
node; malavoglia; 1.02; 0.03119919
node; malavoglia; 0.96; 0.03203702
node; malavoglia; 1.24; 0.03402971
node; malavoglia; 1.05; 0.03235541
node; malavoglia; 0.97; 0.03213882
node; malavoglia; 0.81; 0.03218199
node; malavoglia; 0.94; 0.03391392
node; malavoglia; 0.77; 0.03114074
node; malavoglia; 0.83; 0.03271411
node; malavoglia; 1.27; 0.03093699
node; malavoglia; 0.99; 0.03172493
node; malavoglia; 1.19; 0.03193043
node; malavoglia; 0.97; 0.02996612
node; malavoglia; 0.92; 0.02997338
node; malavoglia; 0.85; 0.03104906
node; malavoglia; 0.90; 0.03195019
node; malavoglia; 0.78; 0.03190369
node; malavoglia; 1.01; 0.03138073
node; 3romanzi; 5.81; 0.11564376
node; 3romanzi; 6.12; 0.12176924
node; 3romanzi; 5.90; 0.11877351
node; 3romanzi; 5.83; 0.11458465
node; 3romanzi; 6.13; 0.11180294
node; 3romanzi; 6.26; 0.11955477
node; 3romanzi; 5.72; 0.12114720
node; 3romanzi; 5.62; 0.11297459
node; 3romanzi; 5.86; 0.11501964
node; 3romanzi; 5.77; 0.11388556
node; 3romanzi; 5.93; 0.11352554
node; 3romanzi; 5.76; 0.11626251
node; 3romanzi; 5.96; 0.11706949
node; 3romanzi; 5.52; 0.11627878
node; 3romanzi; 5.68; 0.11429044
node; 3romanzi; 5.79; 0.12059471
node; 3romanzi; 6.02; 0.11805036
node; 3romanzi; 5.87; 0.11208152
node; 3romanzi; 5.96; 0.12024390
node; 3romanzi; 6.17; 0.11421484
node; 3romanzi; 6.13; 0.11665321
node; 3romanzi; 5.43; 0.11432768
node; 3romanzi; 5.74; 0.11528976
node; 3romanzi; 5.79; 0.11447364
node; 3romanzi; 5.90; 0.12298331
node; 3romanzi; 5.85; 0.11518540
node; 3romanzi; 5.73; 0.11432127
node; 3romanzi; 5.75; 0.11794473
node; 3romanzi; 5.89; 0.11814965
node; 3romanzi; 5.88; 0.11375287
