Platform,size,GPU,PKG,seconds
sleep, 0.5, 14.44, 13.95, 0.50140762
sleep, 0.5, 17.59, 13.19, 0.50143777
sleep, 0.5, 17.20, 11.61, 0.50170872
sleep, 0.5, 12.94, 11.73, 0.50135940
sleep, 0.5, 9.13, 11.16, 0.50088707
sleep, 0.5, 8.60, 11.25, 0.50084919
sleep, 0.5, 8.37, 11.23, 0.50105321
sleep, 0.5, 7.71, 11.12, 0.50128314
sleep, 0.5, 6.98, 11.51, 0.50135326
sleep, 0.5, 6.18, 11.37, 0.50159636
sleep, 0.5, 6.20, 11.46, 0.50119251
sleep, 0.5, 6.06, 11.30, 0.50120245
sleep, 0.5, 6.11, 10.88, 0.50140875
sleep, 0.5, 6.07, 10.80, 0.50118292
sleep, 0.5, 6.02, 11.12, 0.50107299
sleep, 1, 11.01, 20.40, 1.00129272
sleep, 1, 10.99, 20.83, 1.00091161
sleep, 1, 11.40, 22.17, 1.00118356
sleep, 1, 11.24, 21.70, 1.00118226
sleep, 1, 11.42, 21.19, 1.00138101
sleep, 1, 12.01, 21.15, 1.00144895
sleep, 1, 11.71, 20.26, 1.00163745
sleep, 1, 11.17, 20.85, 1.00151350
sleep, 1, 11.31, 21.01, 1.00099757
sleep, 1, 11.02, 20.70, 1.00105262
sleep, 1, 10.83, 21.03, 1.00083918
sleep, 1, 10.94, 21.03, 1.00133708
sleep, 1, 12.31, 20.91, 1.00123458
sleep, 1, 12.35, 20.53, 1.00130000
sleep, 1, 11.14, 21.15, 1.00090498
sleep, 2, 22.09, 41.77, 2.00111774
sleep, 2, 21.86, 42.14, 2.00117633
sleep, 2, 22.14, 42.74, 2.00088280
sleep, 2, 22.09, 42.61, 2.00101519
sleep, 2, 21.98, 41.56, 2.00142281
sleep, 2, 24.80, 42.48, 2.00092181
sleep, 2, 22.30, 42.07, 2.00155921
sleep, 2, 22.08, 42.36, 2.00096735
sleep, 2, 22.00, 44.66, 2.00085852
sleep, 2, 22.05, 43.53, 2.00124370
sleep, 2, 21.80, 41.10, 2.00156916
sleep, 2, 21.87, 41.53, 2.00133602
sleep, 2, 22.68, 42.34, 2.00139463
sleep, 2, 21.88, 42.15, 2.00157861
sleep, 2, 23.28, 42.53, 2.00137966
sleep, 4, 48.32, 84.63, 4.00153370
sleep, 4, 44.30, 86.34, 4.00089608
sleep, 4, 45.60, 85.49, 4.00086574
sleep, 4, 44.30, 86.30, 4.00123624
sleep, 4, 45.22, 87.04, 4.00139934
sleep, 4, 45.73, 83.72, 4.00087658
sleep, 4, 44.45, 85.15, 4.00109318
sleep, 4, 47.07, 86.48, 4.00187366
sleep, 4, 44.28, 87.33, 4.00087598
sleep, 4, 44.46, 85.50, 4.00106653
sleep, 4, 47.04, 84.10, 4.00116904
sleep, 4, 44.44, 85.01, 4.00091276
sleep, 4, 44.45, 88.51, 4.00129631
sleep, 4, 43.96, 87.18, 4.00094083
sleep, 4, 44.82, 85.23, 4.00115471
